shots theta1_mean theta1_std theta2_mean theta2_std energy_mean energy_std energy_mean_fixed energy_std_fixed
100 0.598710 0.110948 -0.455436 0.265842 -2.392375 0.767366 -2.820478 0.375917
300 0.588457 0.070788 -0.652422 0.150411 -2.903715 0.316736 -2.888901 0.189006
1000 0.570065 0.059515 -0.684684 0.150961 -2.933246 0.252569 -2.858800 0.100058
3000 0.593335 0.042860 -0.774736 0.102732 -3.037183 0.039282 -2.895230 0.057394
