142
0, (12, 13, 14, 15, 16, 17)
1, (12, 13, 14, 15, 17, 23)
2, (12, 13, 14, 16, 17, 19)
3, (12, 13, 14, 16, 17, 22)
4, (12, 13, 14, 17, 19, 23)
5, (12, 13, 14, 17, 22, 23)
6, (12, 13, 15, 16, 17, 18)
7, (12, 13, 15, 16, 17, 21)
8, (12, 13, 15, 16, 19, 23)
9, (12, 13, 15, 16, 22, 23)
10, (12, 13, 15, 17, 18, 23)
11, (12, 13, 15, 17, 19, 22)
12, (12, 13, 15, 17, 21, 23)
13, (12, 13, 16, 17, 18, 19)
14, (12, 13, 16, 17, 18, 22)
15, (12, 13, 16, 17, 19, 21)
16, (12, 13, 16, 17, 20, 23)
17, (12, 13, 16, 17, 21, 22)
18, (12, 13, 16, 19, 22, 23)
19, (12, 13, 17, 18, 19, 23)
20, (12, 13, 17, 18, 22, 23)
21, (12, 13, 17, 19, 21, 23)
22, (12, 13, 17, 21, 22, 23)
23, (12, 14, 15, 16, 17, 20)
24, (12, 14, 15, 16, 18, 23)
25, (12, 14, 15, 16, 19, 22)
26, (12, 14, 15, 16, 21, 23)
27, (12, 14, 15, 17, 18, 19)
28, (12, 14, 15, 17, 18, 22)
29, (12, 14, 15, 17, 19, 21)
30, (12, 14, 15, 17, 20, 23)
31, (12, 14, 15, 17, 21, 22)
32, (12, 14, 15, 19, 22, 23)
33, (12, 14, 16, 17, 18, 21)
34, (12, 14, 16, 17, 19, 20)
35, (12, 14, 16, 17, 20, 22)
36, (12, 14, 16, 18, 19, 23)
37, (12, 14, 16, 18, 22, 23)
38, (12, 14, 16, 19, 21, 23)
39, (12, 14, 16, 21, 22, 23)
40, (12, 14, 17, 18, 19, 22)
41, (12, 14, 17, 18, 21, 23)
42, (12, 14, 17, 19, 20, 23)
43, (12, 14, 17, 19, 21, 22)
44, (12, 14, 17, 20, 22, 23)
45, (12, 15, 16, 17, 18, 20)
46, (12, 15, 16, 17, 20, 21)
47, (12, 15, 16, 18, 19, 22)
48, (12, 15, 16, 18, 21, 23)
49, (12, 15, 16, 19, 20, 23)
50, (12, 15, 16, 19, 21, 22)
51, (12, 15, 16, 20, 22, 23)
52, (12, 15, 17, 18, 19, 21)
53, (12, 15, 17, 18, 20, 23)
54, (12, 15, 17, 18, 21, 22)
55, (12, 15, 17, 19, 20, 22)
56, (12, 15, 17, 20, 21, 23)
57, (12, 15, 18, 19, 22, 23)
58, (12, 15, 19, 21, 22, 23)
59, (12, 16, 17, 18, 19, 20)
60, (12, 16, 17, 18, 20, 22)
61, (12, 16, 17, 19, 20, 21)
62, (12, 16, 17, 20, 21, 22)
63, (12, 16, 18, 19, 21, 23)
64, (12, 16, 18, 21, 22, 23)
65, (12, 16, 19, 20, 22, 23)
66, (12, 17, 18, 19, 20, 23)
67, (12, 17, 18, 19, 21, 22)
68, (12, 17, 18, 20, 22, 23)
69, (12, 17, 19, 20, 21, 23)
70, (12, 17, 20, 21, 22, 23)
71, (13, 14, 15, 16, 18, 19)
72, (13, 14, 15, 16, 18, 22)
73, (13, 14, 15, 16, 19, 21)
74, (13, 14, 15, 16, 20, 23)
75, (13, 14, 15, 16, 21, 22)
76, (13, 14, 15, 17, 18, 21)
77, (13, 14, 15, 17, 19, 20)
78, (13, 14, 15, 17, 20, 22)
79, (13, 14, 15, 18, 19, 23)
80, (13, 14, 15, 18, 22, 23)
81, (13, 14, 15, 19, 21, 23)
82, (13, 14, 15, 21, 22, 23)
83, (13, 14, 16, 17, 18, 20)
84, (13, 14, 16, 17, 20, 21)
85, (13, 14, 16, 18, 19, 22)
86, (13, 14, 16, 18, 21, 23)
87, (13, 14, 16, 19, 20, 23)
88, (13, 14, 16, 19, 21, 22)
89, (13, 14, 16, 20, 22, 23)
90, (13, 14, 17, 18, 19, 21)
91, (13, 14, 17, 18, 20, 23)
92, (13, 14, 17, 18, 21, 22)
93, (13, 14, 17, 19, 20, 22)
94, (13, 14, 17, 20, 21, 23)
95, (13, 14, 18, 19, 22, 23)
96, (13, 14, 19, 21, 22, 23)
97, (13, 15, 16, 18, 19, 21)
98, (13, 15, 16, 18, 20, 23)
99, (13, 15, 16, 18, 21, 22)
100, (13, 15, 16, 19, 20, 22)
101, (13, 15, 16, 20, 21, 23)
102, (13, 15, 17, 18, 19, 20)
103, (13, 15, 17, 18, 20, 22)
104, (13, 15, 17, 19, 20, 21)
105, (13, 15, 17, 20, 21, 22)
106, (13, 15, 18, 19, 21, 23)
107, (13, 15, 18, 21, 22, 23)
108, (13, 15, 19, 20, 22, 23)
109, (13, 16, 17, 18, 20, 21)
110, (13, 16, 18, 19, 20, 23)
111, (13, 16, 18, 19, 21, 22)
112, (13, 16, 18, 20, 22, 23)
113, (13, 16, 19, 20, 21, 23)
114, (13, 16, 20, 21, 22, 23)
115, (13, 17, 18, 19, 20, 22)
116, (13, 17, 18, 20, 21, 23)
117, (13, 17, 19, 20, 21, 22)
118, (13, 18, 19, 21, 22, 23)
119, (14, 15, 16, 18, 19, 20)
120, (14, 15, 16, 18, 20, 22)
121, (14, 15, 16, 19, 20, 21)
122, (14, 15, 16, 20, 21, 22)
123, (14, 15, 17, 18, 20, 21)
124, (14, 15, 18, 19, 20, 23)
125, (14, 15, 18, 19, 21, 22)
126, (14, 15, 18, 20, 22, 23)
127, (14, 15, 19, 20, 21, 23)
128, (14, 15, 20, 21, 22, 23)
129, (14, 16, 18, 19, 20, 22)
130, (14, 16, 18, 20, 21, 23)
