shots theta1_mean theta1_std theta2_mean theta2_std energy_mean energy_std energy_mean_fixed energy_std_fixed
1000 0.595692 0.050903 -0.754990 0.073223 -3.064575 0.059516 -3.028631 0.134449
3000 0.590857 0.043106 -0.785314 0.049958 -3.049455 0.018115 -3.051842 0.083973
5000 0.580614 0.037638 -0.794437 0.030093 -3.047505 0.018279 -3.057613 0.056095
10000 0.579487 0.034917 -0.794720 0.019458 -3.045572 0.017329 -3.057559 0.037007
