shots theta1_mean theta1_std theta2_mean theta2_std energy_mean energy_std energy_mean_fixed energy_std_fixed
1000 0.576644 0.009266 -0.785693 0.009360 -3.040637 0.008649 -3.003294 0.015344
3000 0.577817 0.004768 -0.784687 0.004718 -3.044825 0.004192 -3.006793 0.008867
5000 0.578052 0.003554 -0.786239 0.003823 -3.045774 0.002608 -3.007009 0.006960
10000 0.578329 0.002887 -0.785069 0.002591 -3.045969 0.001990 -3.007481 0.004804
