shots theta1_mean theta1_std theta2_mean theta2_std energy_mean energy_std energy_mean_fixed energy_std_fixed
1000 0.589318 0.029344 -0.757374 0.068766 -3.021084 0.032213 -3.003350 0.016084
3000 0.592909 0.027315 -0.782890 0.071342 -3.024008 0.014701 -3.006565 0.009118
5000 0.589472 0.022216 -0.787485 0.071691 -3.025300 0.012474 -3.007045 0.007030
10000 0.589337 0.018021 -0.807776 0.068400 -3.025745 0.011592 -3.007661 0.004958
