shots theta1_mean theta1_std theta2_mean theta2_std energy_mean energy_std energy_mean_fixed energy_std_fixed
500 0.575078 0.071131 -0.705466 0.134449 -2.944225 0.223014 -3.018509 0.154285
1000 0.577145 0.051191 -0.727227 0.133464 -3.002297 0.148083 -3.046768 0.086856
2500 0.573285 0.051138 -0.780304 0.097909 -3.023085 0.054335 -3.052557 0.058973
